iter	RMSE
0	37.8503639
1	37.02028822
2	36.22635271
3	35.5303075
4	34.84870974
5	34.15502273
6	33.54412381
7	32.95375627
8	32.40946482
9	31.92763123
10	31.41122401
11	30.97452668
12	30.58084827
13	30.21251646
14	29.8656199
15	29.53573393
16	29.18013387
17	28.84383225
18	28.56510535
19	28.31489163
20	28.07136394
21	27.81359175
22	27.60067195
23	27.37919506
24	27.17567031
25	26.95479181
26	26.77185256
27	26.59820169
28	26.4415297
29	26.32124585
30	26.16864508
31	26.03622267
32	25.90981494
33	25.78408115
34	25.62414486
35	25.50093795
36	25.36868538
37	25.2747513
38	25.17215291
39	25.07564392
40	24.98244407
41	24.90049908
42	24.81000162
43	24.72087058
44	24.62786714
45	24.53785364
46	24.45678261
47	24.38728635
48	24.30476985
49	24.21703836
50	24.12944634
51	24.10414109
52	24.0286067
53	23.98739818
54	23.97685632
55	23.96537171
56	23.88445098
57	23.8377558
58	23.77741095
59	23.76726193
60	23.71282233
61	23.65248022
62	23.58985414
63	23.52767946
64	23.4706074
65	23.45998502
66	23.42289457
67	23.38948195
68	23.35629188
69	23.29003705
70	23.23866282
71	23.18765467
72	23.17838336
73	23.1261472
74	23.08017468
75	23.03564356
76	23.0164755
77	22.97082009
78	22.95216266
79	22.94029297
80	22.90000921
81	22.89177965
82	22.84594438
83	22.7949811
84	22.78793639
85	22.75198581
86	22.72044589
87	22.7140504
88	22.67504196
89	22.64611727
90	22.60242265
91	22.56898304
92	22.55077383
93	22.51713496
94	22.49283532
95	22.45535279
96	22.4455592
97	22.41309328
98	22.38133548
99	22.33691218
100	22.30808087
101	22.27286041
102	22.22874937
103	22.19529135
104	22.18562121
105	22.15682516
106	22.12130721
107	22.08987684
108	22.05855581
109	22.02416375
110	22.00085881
111	21.97626143
112	21.95676394
113	21.94274778
114	21.9115058
115	21.90595178
116	21.87792337
117	21.85276316
118	21.83844526
119	21.81726452
120	21.79481743
121	21.77021764
122	21.73660043
123	21.70128471
124	21.68395498
125	21.6687854
126	21.65145571
127	21.64283799
128	21.63821315
129	21.6316788
130	21.60873311
131	21.6005342
132	21.58224951
133	21.56340725
134	21.5527512
135	21.51854888
136	21.51546449
137	21.50656859
138	21.50343794
139	21.46888056
140	21.4521995
141	21.44563051
142	21.43729781
143	21.42863447
144	21.42632328
145	21.38171123
146	21.36274632
147	21.35827049
148	21.34071474
149	21.31762633
150	21.28757309
151	21.26838819
152	21.25322158
153	21.23256817
154	21.20177814
155	21.1687529
156	21.1472719
157	21.11828241
158	21.10770409
159	21.0785612
160	21.05768624
161	21.05464399
162	21.02776659
163	21.00592899
164	20.98708266
165	20.96850249
166	20.95005657
167	20.91519547
168	20.87924365
169	20.86630211
170	20.84651643
171	20.81450251
172	20.79441817
173	20.76132275
174	20.73514575
175	20.70203146
176	20.67534646
177	20.64903081
178	20.61700756
179	20.59165731
180	20.57395783
181	20.57093632
182	20.5415171
183	20.52855999
184	20.51351743
185	20.49224802
186	20.48421248
187	20.45633106
188	20.42763452
189	20.39970887
190	20.39155235
191	20.38847906
192	20.35967609
193	20.32532287
194	20.32352308
195	20.30333154
196	20.27137543
197	20.24302876
198	20.20508952
199	20.17809725
200	20.14655956
201	20.12749741
202	20.0974797
203	20.07513286
204	20.06767345
205	20.06162894
206	20.03734011
207	20.02058002
208	20.00885034
209	19.98520325
210	19.96331208
211	19.92726421
212	19.90832978
213	19.88804691
214	19.86096495
215	19.82455491
216	19.82257547
217	19.80121439
218	19.76793975
219	19.74616258
220	19.71400318
221	19.68851895
222	19.65883353
223	19.62569044
224	19.60650066
225	19.57306634
226	19.54652415
227	19.52630138
228	19.50230481
229	19.48064081
230	19.45097109
231	19.42837325
232	19.40308918
233	19.38541096
234	19.35201514
235	19.31957719
236	19.28904075
237	19.28013741
238	19.25361588
239	19.2267671
240	19.20051297
241	19.17931061
242	19.161374
243	19.14576037
244	19.12759768
245	19.10328429
246	19.10073426
247	19.08022849
248	19.06234313
249	19.04948296
250	19.02823544
251	19.00748745
252	18.98147559
253	18.96259356
254	18.9430031
255	18.91729823
256	18.89711382
257	18.86830811
258	18.8541496
259	18.82794255
260	18.82177279
261	18.79236489
262	18.77190805
263	18.74888068
264	18.7332661
265	18.71562071
266	18.70047479
267	18.68694992
268	18.66487557
269	18.64390502
270	18.61369615
271	18.59678365
272	18.57432175
273	18.55281007
274	18.53789446
275	18.52537867
276	18.50442447
277	18.47958074
278	18.46333845
279	18.44420042
280	18.42812866
281	18.4143704
282	18.39823591
283	18.38416116
284	18.36376006
285	18.35401681
286	18.33675672
287	18.33480174
288	18.31610805
289	18.29222636
290	18.27110917
291	18.26959069
292	18.25561655
293	18.23221242
294	18.20951014
295	18.18516776
296	18.17353604
297	18.15626185
298	18.13889881
299	18.11283451
300	18.09875112
301	18.08114348
302	18.06082182
303	18.03658835
304	18.00687889
305	17.97803489
306	17.97001394
307	17.95435233
308	17.93556794
309	17.92137908
310	17.90284702
311	17.88634137
312	17.88454934
313	17.86059221
314	17.84416493
315	17.83017945
316	17.81379587
317	17.79286367
318	17.77572533
319	17.75955294
320	17.74497522
321	17.73228081
322	17.71582692
323	17.69579764
324	17.66993013
325	17.64478501
326	17.61819786
327	17.60644198
328	17.59940355
329	17.59195256
330	17.58311015
331	17.55650234
332	17.53999348
333	17.52394455
334	17.51226907
335	17.49339252
336	17.47754079
337	17.46668947
338	17.45291242
339	17.4354251
340	17.43402599
341	17.41493958
342	17.39898627
343	17.37622025
344	17.36685579
345	17.35283723
346	17.33990165
347	17.33852078
348	17.33107023
349	17.32047245
350	17.30594752
351	17.29595105
352	17.28256623
353	17.27045519
354	17.25660409
355	17.2497789
356	17.23076388
357	17.21635795
358	17.20585188
359	17.18186123
360	17.16026563
361	17.1397756
362	17.13819722
363	17.1244106
364	17.11529109
365	17.10495016
366	17.08865316
367	17.08722244
368	17.0727545
369	17.05610472
370	17.04121528
371	17.02526543
372	17.02403651
373	17.01520945
374	17.00151158
375	16.98921367
376	16.97438452
377	16.97316758
378	16.95931426
379	16.94662274
380	16.93077206
381	16.91862976
382	16.90349931
383	16.88804284
384	16.87161573
385	16.86546207
386	16.84759352
387	16.82921925
388	16.82784488
389	16.81268222
390	16.80075015
391	16.78231699
392	16.76508088
393	16.75170275
394	16.7406617
395	16.72712032
396	16.71575554
397	16.70178425
398	16.68479474
399	16.66738385
400	16.66577921
401	16.65122851
402	16.64269408
403	16.64109941
404	16.62944407
405	16.62256663
406	16.60132564
407	16.58689746
408	16.57141092
409	16.55880608
410	16.53563073
411	16.51806068
412	16.51696975
413	16.51568139
414	16.50295799
415	16.50197494
416	16.50086451
417	16.48725739
418	16.48219246
419	16.4720748
420	16.45706008
421	16.44657222
422	16.43765732
423	16.42723789
424	16.40986512
425	16.39661172
426	16.38998146
427	16.37680795
428	16.36015138
429	16.34707317
430	16.34288821
431	16.32218648
432	16.30711127
433	16.2981044
434	16.29708889
435	16.28229148
436	16.26892839
437	16.25670519
438	16.2556692
439	16.24700391
440	16.22960884
441	16.2141223
442	16.20750835
443	16.18872429
444	16.17597295
445	16.16388253
446	16.14803933
447	16.13549328
448	16.12297956
449	16.11046576
450	16.09604156
451	16.08981745
452	16.0767112
453	16.06195852
454	16.04934825
455	16.03665082
456	16.027467
457	16.00876196
458	15.9957313
459	15.98475153
460	15.97011062
461	15.96188579
462	15.9607864
463	15.94764585
464	15.93366775
465	15.92249892
466	15.91227577
467	15.89662233
468	15.88798056
469	15.87626896
470	15.87000368
471	15.85385689
472	15.84142188
473	15.82879919
474	15.81496212
475	15.79708471
476	15.78649234
477	15.77319666
478	15.76189346
479	15.74821427
480	15.72753386
481	15.71629143
482	15.70317243
483	15.69387221
484	15.69300888
485	15.67938674
486	15.66781082
487	15.65954771
488	15.6478896
489	15.64074704
490	15.62901896
491	15.61958537
492	15.61894546
493	15.6066323
494	15.59717255
495	15.59157807
496	15.58133208
497	15.56465766
498	15.55216749
499	15.54285646
500	15.53459662
501	15.52279457
502	15.51243969
503	15.49609932
504	15.49013825
505	15.47696929
506	15.46429275
507	15.45248005
508	15.44047405
509	15.42677939
510	15.41245939
511	15.40002851
512	15.39149325
513	15.37932042
514	15.3686116
515	15.35793854
516	15.34282622
517	15.33836405
518	15.32352858
519	15.30243144
520	15.28615312
521	15.27480593
522	15.27243119
523	15.26458387
524	15.2501332
525	15.24225734
526	15.23686894
527	15.23282241
528	15.21672676
529	15.20384457
530	15.20128871
531	15.18733836
532	15.17864077
533	15.16935723
534	15.16105973
535	15.16003432
536	15.142922
537	15.13144302
538	15.12415472
539	15.11223395
540	15.09988233
541	15.08996556
542	15.08926329
543	15.0776271
544	15.06558155
545	15.05386347
546	15.04339551
547	15.03080201
548	15.0190257
549	15.00848385
550	14.9984988
551	14.98501419
552	14.98149945
553	14.97082488
554	14.95722028
555	14.95162627
556	14.93831781
557	14.93087536
558	14.92101541
559	14.90902086
560	14.89918096
